 ---->>>>Empilhou: lin = 3, col = 3, mov = 2
 ---->>>>Empilhou: lin = 2, col = 3, mov = 3
 ---->>>>Empilhou: lin = 2, col = 2, mov = 2
 ---->>>>Empilhou: lin = 0, col = 2, mov = 1
 ---->>>>Empilhou: lin = 2, col = 1, mov = 1
 ---->>>>Empilhou: lin = 2, col = 2, mov = 3
 ---->>>>Empilhou: lin = 0, col = 4, mov = 0
 ---->>>>Empilhou: lin = 2, col = 4, mov = 1
 ---->>>>Empilhou: lin = 1, col = 2, mov = 0
 ---->>>>Empilhou: lin = 2, col = 2, mov = 2
 ---->>>>Empilhou: lin = 3, col = 2, mov = 3
 ---->>>>Empilhou: lin = 1, col = 2, mov = 0
 ---->>>>Empilhou: lin = 1, col = 4, mov = 0
 ---->>>>Empilhou: lin = 2, col = 4, mov = 2
 ---->>>>Empilhou: lin = 3, col = 4, mov = 1
 ---->>>>Empilhou: lin = 3, col = 5, mov = 3
 ---->>>>Empilhou: lin = 2, col = 5, mov = 0
 ---->>>>Empilhou: lin = 2, col = 6, mov = 3
 ---->>>>Empilhou: lin = 4, col = 5, mov = 3
 ---->>>>Empilhou: lin = 4, col = 3, mov = 3
 ---->>>>Empilhou: lin = 4, col = 4, mov = 1
 ---->>>>Empilhou: lin = 4, col = 5, mov = 3
 ---->>>>Empilhou: lin = 4, col = 2, mov = 0
 ---->>>>Empilhou: lin = 5, col = 2, mov = 1
 ---->>>>Empilhou: lin = 6, col = 2, mov = 2
 ---->>>>Empilhou: lin = 6, col = 2, mov = 1
 ---->>>>Empilhou: lin = 4, col = 4, mov = 0
 ---->>>>Empilhou: lin = 4, col = 6, mov = 3
 ---->>>>Empilhou: lin = 4, col = 2, mov = 3
 ---->>>>Empilhou: lin = 4, col = 4, mov = 3
 ---->>>>Empilhou: lin = 4, col = 4, mov = 1
 ---->>>>Empilhou: lin = 2, col = 6, mov = 0
 ---->>>>Empilhou: lin = 3, col = 2, mov = 1
 ---->>>>Empilhou: lin = 2, col = 0, mov = 0
 ---->>>>Empilhou: lin = 4, col = 4, mov = 2
 ---->>>>Empilhou: lin = 2, col = 5, mov = 3
 ---->>>>Empilhou: lin = 2, col = 4, mov = 1
 ---->>>>Empilhou: lin = 2, col = 2, mov = 3
 ---->>>>Empilhou: lin = 4, col = 2, mov = 2
